year,month,day,discharge
1994,6,7,1998.8991
1994,6,8,1961.1174
1994,6,9,1982.6565
1994,6,10,1904.6214
1994,6,11,1845.6537
1994,6,12,1741.1361
1994,6,13,1709.7102
1994,6,14,1651.4487
1994,6,15,1568.1171
1994,6,16,1706.8854
1994,6,17,1836.8262
1994,6,18,1908.8586
1994,6,19,1886.9664
1994,6,20,1821.996
1994,6,21,1785.6267
1994,6,22,1651.0956
1994,6,23,1667.3382
1994,6,24,3598.089
1994,6,25,8124.831
1994,6,26,9900.924
1994,6,27,11119.119
1994,6,28,12114.861
1994,6,29,13096.479
1994,6,30,11910.063
1994,7,1,10808.391
1994,7,2,10211.652
1994,7,3,9194.724
1994,7,4,8061.273
1994,7,5,8816.907
1994,7,6,8280.195
1994,7,7,11652.3
1994,7,8,23039.775
1994,7,9,22040.502
1994,7,10,20815.245
1994,7,11,18901.443
1994,7,12,16330.875
1994,7,13,14374.701
1994,7,14,12859.902
1994,7,15,11687.61
1994,7,16,10349.361
1994,7,17,9374.805
1994,7,18,8449.683
1994,7,19,7609.305
1994,7,20,7605.774
1994,7,21,8414.373
1994,7,22,8033.025
1994,7,23,8290.788
1994,7,24,8071.866
1994,7,25,7747.014
1994,7,26,7422.162
1994,7,27,7213.833
1994,7,28,6602.97
1994,7,29,5985.045
1994,7,30,5321.217
1994,7,31,4826.877
1994,8,1,4735.071
1994,8,2,4332.537
1994,8,3,3940.596
1994,8,4,4918.683
1994,8,5,4851.594
1994,8,6,4523.211
1994,8,7,4194.828
1994,8,8,3922.941
1994,8,9,3972.375
1994,8,10,3820.542
1994,8,11,3824.073
1994,8,12,3493.2183
1994,8,13,3693.426
1994,8,14,3742.86
1994,8,15,3813.48
1994,8,16,3562.779
1994,8,17,3608.682
1994,8,18,3411.6522
1994,8,19,3312.078
1994,8,20,3142.2369
1994,8,21,3450.1401
1994,8,22,3348.0942
1994,8,23,3150.3582
1994,8,24,3037.7193
1994,8,25,2918.3715
1994,8,26,2909.8971
1994,8,27,2851.2825
1994,8,28,2867.8782
1994,8,29,2806.7919
1994,8,30,2697.684
1994,8,31,2625.6516
1994,9,1,2562.7998
1994,9,2,2455.4574
1994,9,3,2331.8724
1994,9,4,2244.6567
1994,9,5,2187.4545
1994,9,6,2540.5545
1994,9,7,2430.3873
1994,9,8,2466.7566
1994,9,9,2437.4493
1994,9,10,2428.6218
1994,9,11,2583.6327
1994,9,12,2462.8725
1994,9,13,2323.398
1994,9,14,2550.4413
1994,9,15,2576.5707
1994,9,16,2526.0774
1994,9,17,2718.1638
1994,9,18,2761.9482
1994,9,19,2832.5682
1994,9,20,2800.7892
1994,9,21,2803.2609
1994,9,22,2805.0264
1994,9,23,2818.7973
1994,9,24,2925.4335
1994,9,25,2877.4119
1994,9,26,2870.703
1994,9,27,3245.6952
1994,9,28,3240.7518
1994,9,29,3439.194
1994,9,30,3467.442
1994,10,1,4163.049
1994,10,2,4618.548
1994,10,3,4851.594
1994,10,4,4724.478
1994,10,5,4611.486
1994,10,6,4466.715
1994,10,7,4212.483
1994,10,8,4113.615
1994,10,9,4163.049
1994,10,10,3993.561
1994,10,11,3905.286
1994,10,12,3901.755
1994,10,13,3608.682
1994,10,14,3450.8463
1994,10,15,3337.1481
1994,10,16,3450.4932
1994,10,17,3206.5011
1994,10,18,3060.3177
1994,10,19,2909.544
1994,10,20,2922.2556
1994,10,21,2707.2177
1994,10,22,2552.5599
1994,10,23,2423.3253
1994,10,24,2256.6621
1994,10,25,2166.2685
1994,10,26,2117.8938
1994,10,27,2017.2603
1994,10,28,1924.395
1994,10,29,1851.3033
1994,10,30,1744.314
1994,10,31,1665.9258
1994,11,1,2035.2684
1994,11,2,2210.7591
1994,11,3,2359.0611
1994,11,4,2634.4791
1994,11,5,3216.3879
1994,11,6,5282.376
1994,11,7,6970.194
1994,11,8,7566.933
1994,11,9,8368.47
1994,11,10,8513.241
1994,11,11,8209.575
1994,11,12,7831.758
1994,11,13,7192.647
1994,11,14,7058.469
1994,11,15,6744.21
1994,11,16,6278.118
1994,11,17,5970.921
1994,11,18,5596.635
1994,11,19,5317.686
1994,11,20,5021.082
1994,11,21,4886.904
1994,11,22,4692.699
1994,11,23,5042.268
1994,11,24,5109.357
1994,11,25,5028.144
1994,11,26,5119.95
1994,11,27,5084.64
1994,11,28,6846.609
1994,11,29,6987.849
1994,11,30,7715.235
1994,12,1,8562.675
1994,12,2,8036.556
1994,12,3,7273.86
1994,12,4,7023.159
1994,12,5,6539.412
1994,12,6,6151.002
1994,12,7,5939.142
1994,12,8,5571.918
1994,12,9,5229.411
1994,12,10,4890.435
1994,12,11,4597.362
1994,12,12,4304.289
1994,12,13,4226.607
1994,12,14,3894.693
1994,12,15,3841.728
1994,12,16,3937.065
1994,12,17,4392.564
1994,12,18,5324.748
1994,12,19,5328.279
1994,12,20,5243.535
1994,12,21,5179.977
1994,12,22,4830.408
1994,12,23,4466.715
1994,12,24,4134.801
1994,12,25,3933.534
1994,12,26,3880.569
1994,12,27,3633.399
1994,12,28,3781.701
1994,12,29,3409.8867
1994,12,30,3183.9027
1994,12,31,3064.908
1995,1,1,2856.2259
1995,1,2,2640.8349
1995,1,3,2520.4278
1995,1,4,2386.956
1995,1,5,2290.5597
1995,1,6,2187.4545
1995,1,7,2186.3952
1995,1,8,2134.4895
1995,1,9,2054.6889
1995,1,10,2031.7374
1995,1,11,1969.9449
1995,1,12,2020.7913
1995,1,13,2592.1071
1995,1,14,3997.092
1995,1,15,5617.821
1995,1,16,5946.204
1995,1,17,5684.91
1995,1,18,4826.877
1995,1,19,4396.095
1995,1,20,4180.704
1995,1,21,3898.224
1995,1,22,3788.763
1995,1,23,3489.6873
1995,1,24,3633.399
1995,1,25,3363.6306
1995,1,26,3080.7975
1995,1,27,2870.3499
1995,1,28,2711.1018
1995,1,29,2526.7836
1995,1,30,2428.2687
1995,1,31,2304.6837
1995,2,1,2291.619
1995,2,2,2211.1122
1995,2,3,2217.1149
1995,2,4,2154.6162
1995,2,5,2143.317
1995,2,6,2063.8695
1995,2,7,2112.5973
1995,2,8,2096.3547
1995,2,9,2070.5784
1995,2,10,2025.3816
1995,2,11,1939.2252
1995,2,12,1835.0607
1995,2,13,1857.6591
1995,2,14,1773.6213
1995,2,15,1704.0606
1995,2,16,1611.9015
1995,2,17,1543.7532
1995,2,18,1877.7858
1995,2,19,2449.8078
1995,2,20,3131.997
1995,2,21,3377.0484
1995,2,22,3366.4554
1995,2,23,3601.62
1995,2,24,3824.073
1995,2,25,3753.453
1995,2,26,3491.8059
1995,2,27,3626.337
1995,2,28,3248.8731
1995,3,1,3026.4201
1995,3,2,2802.5547
1995,3,3,2591.4009
1995,3,4,2443.8051
1995,3,5,2385.8967
1995,3,6,2237.5947
1995,3,7,2120.7186
1995,3,8,2085.4086
1995,3,9,1973.4759
1995,3,10,1869.6645
1995,3,11,4975.179
1995,3,12,10720.116
1995,3,13,12503.271
1995,3,14,15017.343
1995,3,15,17602.035
1995,3,16,18569.529
1995,3,17,17379.582
1995,3,18,17072.385
1995,3,19,16984.11
1995,3,20,16179.042
1995,3,21,15624.675
1995,3,22,14081.628
1995,3,23,12570.36
1995,3,24,11963.028
1995,3,25,10847.232
1995,3,26,9364.212
1995,3,27,8234.292
1995,3,28,7397.445
1995,3,29,6998.442
1995,3,30,6278.118
1995,3,31,5589.573
1995,4,1,5179.977
1995,4,2,4710.354
1995,4,3,4431.405
